,Brand,Model,Version,Price,Modèle,Main,Kilométrage,Carburant,Transmision,Puissance fiscale,Couleur extérieure,Etat du véhicule,Climatisation,Vitres électriques,Sièges électriques,Ordinateur de bord,Start & Stop,Régulateur de vitesse,Allumage auto. des feux,Détecteur de pluie,Commandes au volant,Ecran tactile,Rétroviseurs électriques,Ouverture auto. du coffre,Démarrage mains libres,Banquette arrière rabattable 1/3-2/3,Caméra de recul,Bluetooth,Jantes aluminium,Volant cuir,Feux de jour,Barres de toit,Toit,Airbags,ABS,ESP,Antipatinage,Architecture,Cylindrée,Conso. ville,Conso. route,Vitesse maxi.,Volume du réservoir,Puissance fiscale-binned
14,MERCEDES,Classe C 2000,220 CDI,60000.0,2000.0,Première,30000.0,Diesel,Manuelle,8,Bleu foncé,Bon,manuelle,Electrique AV,non,non,non,non,non,non,non,non,non,non,non,non,non,non,oui,non,non,non,Rigide,oui,oui,oui,non,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
15,MERCEDES,Classe E 2018,220 d DCT AMG line,653000.0,2018.0,Seconde,48000.0,Diesel,Automatique,8,Noir,Excellent,auto. Tri-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
16,MERCEDES,GLC Coupé 2020,220 d 4MATIC AMG line,650000.0,2020.0,Première,0.0,Diesel,Automatique,10,-,-,non,-,non,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
17,MERCEDES,Classe C 2003,200 Kompressor,58000.0,2003.0,Seconde,141000.0,Essence,Manuelle,11,Gris,Très bon,manuelle,Electrique AV/AR,non,oui,non,non,oui,oui,oui,non,oui,non,non,oui,non,non,oui,non,non,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
18,MERCEDES,Classe A 2017,220 d DCT AMG line,300000.0,2017.0,Seconde,50000.0,Diesel,Automatique,9,Blanc,Comme neuve,auto.,Electrique AV/AR,Conducteur,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,oui,oui,oui,Panoramique ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
19,MERCEDES,Classe A 2018,160 d DCT Style,220000.0,2018.0,Première,29000.0,Diesel,Automatique,6,Noir,Comme neuve,auto.,Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
20,MERCEDES,Classe E 1997,Autre version,60000.0,1997.0,Seconde,300000.0,Diesel,Manuelle,9,Autre couleur,Excellent,manuelle,-,non,non,non,non,non,non,non,non,non,non,non,non,non,non,oui,oui,non,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
21,MERCEDES,Classe C 2010,220 d AMG line,175000.0,2010.0,Seconde,190000.0,Diesel,Automatique,9,Noir,Excellent,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,non,oui,oui,non,oui,non,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
22,MERCEDES,Classe B 2015,180 d BVA Urban,185000.0,2015.0,Première,148000.0,Diesel,Automatique,6,Noir,Excellent,auto.,Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,non,oui,non,oui,oui,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
23,MERCEDES,Classe A 2013,180 d,185000.0,2013.0,Seconde,128000.0,Diesel,Automatique,7,Gris clair,Excellent,auto.,Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
